le père,father
la mère,mother
les parents,parents/relatives
le frère,brother
la soeur,sister
le bébé,baby
les enfants,children
le grand-père,grandfather
la grand-mère,grandmother
les grands-parents,grandparents
l'oncle,uncle
la tante,aunt
le cousin,cousin (male)
la cousine,cousin (female)
la nièce,niece
le neveu,nephew
le fils,son
la fille,daughter
le petit-fils,grandson
la petite-fille,granddaughter
les petits-enfants,grandchildren
l'arrière-grand-mère,great grandmother
l'arrière-grand-père,great grandfather
les arrières-grands-parents,great grandparents
